Genotype,Timepoint,Tissue,Replicate,Homeologue,Expression
Cadenza,14_DPA,Embryo,1,ASN_A2,0.090259556
Cadenza,14_DPA,Embryo,2,ASN_A2,0.062600303
Cadenza,14_DPA,Embryo,3,ASN_A2,0.060798964
Cadenza,14_DPA,Embryo,4,ASN_A2,0.000272699
Claire,14_DPA,Embryo,1,ASN_A2,0.057711318
Claire,14_DPA,Embryo,2,ASN_A2,0.045162872
Claire,14_DPA,Embryo,3,ASN_A2,0.065300314
Claire,14_DPA,Embryo,4,ASN_A2,0.033926178
Cadenza,14_DPA,Embryo,1,ASN_B2,0.080482118
Cadenza,14_DPA,Embryo,2,ASN_B2,0.025679682
Cadenza,14_DPA,Embryo,3,ASN_B2,0.032764986
Cadenza,14_DPA,Embryo,4,ASN_B2,0.022860812
Claire,14_DPA,Embryo,1,ASN_B2,0.001017237
Claire,14_DPA,Embryo,2,ASN_B2,0.000641845
Claire,14_DPA,Embryo,3,ASN_B2,0.001001471
Claire,14_DPA,Embryo,4,ASN_B2,0.000573747
Cadenza,14_DPA,Embryo,1,ASN_D2,0.027705923
Cadenza,14_DPA,Embryo,2,ASN_D2,0.005366332
Cadenza,14_DPA,Embryo,3,ASN_D2,0.016558427
Cadenza,14_DPA,Embryo,4,ASN_D2,0.005276923
Claire,14_DPA,Embryo,1,ASN_D2,0.00647219
Claire,14_DPA,Embryo,2,ASN_D2,0.003103462
Claire,14_DPA,Embryo,3,ASN_D2,0.010345937
Claire,14_DPA,Embryo,4,ASN_D2,0.001847828
Duxford,14_DPA,Embryo,1,ASN_A2,0.092942289
Duxford,14_DPA,Embryo,2,ASN_A2,0.02891761
Duxford,14_DPA,Embryo,3,ASN_A2,0.089644981
Duxford,14_DPA,Embryo,4,ASN_A2,0.122136261
Spark,14_DPA,Embryo,1,ASN_A2,0.05824742
Spark,14_DPA,Embryo,2,ASN_A2,0.248738819
Spark,14_DPA,Embryo,3,ASN_A2,0.05866489
Spark,14_DPA,Embryo,4,ASN_A2,0.162962381
Duxford,14_DPA,Embryo,1,ASN_B2,0.02671034
Duxford,14_DPA,Embryo,2,ASN_B2,0.01213795
Duxford,14_DPA,Embryo,3,ASN_B2,0.034048588
Duxford,14_DPA,Embryo,4,ASN_B2,0.028290332
Spark,14_DPA,Embryo,1,ASN_B2,0.000569517
Spark,14_DPA,Embryo,2,ASN_B2,0.003586436
Spark,14_DPA,Embryo,3,ASN_B2,0.000532462
Spark,14_DPA,Embryo,4,ASN_B2,0.001884128
Duxford,14_DPA,Embryo,1,ASN_D2,0.008661462
Duxford,14_DPA,Embryo,2,ASN_D2,0.002847892
Duxford,14_DPA,Embryo,3,ASN_D2,0.010521036
Duxford,14_DPA,Embryo,4,ASN_D2,0.016992228
Spark,14_DPA,Embryo,1,ASN_D2,0.007693494
Spark,14_DPA,Embryo,2,ASN_D2,0.024017255
Spark,14_DPA,Embryo,3,ASN_D2,0.008975077
