Variety,ASN_B2,Treatment,Log.Asn,Asn,,,
Delphi,Absent,S+,0.863,2.699388889,,,
Diego,Absent,S+,0.938,2.948944444,,,
Gallant,Absent,S+,0.884,3.812333333,,,
Invicta,Absent,S+,1.175,3.865885945,,,
Rialto,Absent,S+,0.826,2.6235,,,
Santiago,Absent,S+,0.991,3.313277778,,,
Solstice,Absent,S+,0.96,3.133222222,,,
Spark,Absent,S+,0.989,2.955866683,,,
Avalon,Present,S+,1.307,4.729388889,,,
Cadenza,Present,S+,1.261,4.247722222,,,
Torch,Present,S+,0.86,2.48371218,,,
Delphi,Absent,S-,2.054,19.50783024,,,
Diego,Absent,S-,2.011,15.20944444,,,
Gallant,Absent,S-,1.931,10.76260024,,,
Invicta,Absent,S-,1.965,12.34211111,,,
Rialto,Absent,S-,1.336,4.740055556,,,
Santiago,Absent,S-,1.903,15.97866667,,,
Solstice,Absent,S-,2.023,11.79561111,,,
Spark,Absent,S-,1.6,7.647420501,,,
Avalon,Present,S-,1.704,7.914917846,,,
Cadenza,Present,S-,2.042,14.2599205,,,
Torch,Present,S-,1.869,13.409,,,
