Variety,ASN_B2,Type
Alchemy,Absent,G4-Soft
Avalon,Present,G1
Badger,Present,G4-Hard
Bonham,Absent,G2
Buster,Absent,G4-Hard
Cadenza,Present,G1
Cashel,Present,G2
Charger,Absent,G2
Chilton,Absent,G2
Claire,Absent,G3
Cocoon,Absent,G3
Cordiale,Absent,G2
Cougar,Absent,G4-Soft
Croft,Absent,G3
Crusoe,Absent,G1
Cubanita,Absent,G2
Delphi,Absent,G3
Denman,Absent,G4-Soft
Dickens,Absent,G4-Hard
Diego,Absent,G3
Duxford,Present,G4-Hard
Einstein,Present,G2
Evoke,Absent,G2
Evolution,Absent,G4-Hard
Gallant,Absent,G1
Gator,Absent,G4-Hard
Goldengun,Absent,G4-Hard
Hereward,Absent,G1
Horatio,Absent,G4-Soft
Icebreaker,Absent,G4-Hard
Icon,Absent,G3
Invicta,Absent,G3
Kielder,Present,G4-Hard
Lancaster,Present,G4-Soft
Leeds,Absent,G4-Soft
Malacca,Present,G1
Monterey,Absent,G3
Myriad,Absent,G4-Soft
Oakley,Absent,G4-Hard
Panacea,Absent,G4-Soft
Podium,Absent,G2
Relay,Present,G4-Hard
Revelation,Absent,G4-Soft
Rialto,Absent,G2
Robigus,Absent,G3
Rowan,Absent,G4-Soft
Santiago,Absent,G4-Hard
Savannah,Absent,G4-Hard
Scout,Absent,G3
Shamrock,Absent,G1
Shango,Absent,G2
Skyfall,Absent,G1
Solace,Absent,G4-Hard
Solstice,Absent,G1
Spark,Absent,G1
Sterling,Absent,G2
Torch,Present,G3
Tuxedo,Absent,G3
Twister,Absent,G4-Soft
Viscount,Absent,G4-Soft
Warrior,Absent,G3
Weaver,Absent,G3
Zulu,Absent,G3
Alchemy,Absent,All
Avalon,Present,All
Badger,Present,All
Bonham,Absent,All
Buster,Absent,All
Cadenza,Present,All
Cashel,Present,All
Charger,Absent,All
Chilton,Absent,All
Claire,Absent,All
Cocoon,Absent,All
Cordiale,Absent,All
Cougar,Absent,All
Croft,Absent,All
Crusoe,Absent,All
Cubanita,Absent,All
Delphi,Absent,All
Denman,Absent,All
Dickens,Absent,All
Diego,Absent,All
Duxford,Present,All
Einstein,Present,All
Evoke,Absent,All
Evolution,Absent,All
Gallant,Absent,All
Gator,Absent,All
Goldengun,Absent,All
Hereward,Absent,All
Horatio,Absent,All
Icebreaker,Absent,All
Icon,Absent,All
Invicta,Absent,All
Kielder,Present,All
Lancaster,Present,All
Leeds,Absent,All
Malacca,Present,All
Monterey,Absent,All
Myriad,Absent,All
Oakley,Absent,All
Panacea,Absent,All
Podium,Absent,All
Relay,Present,All
Revelation,Absent,All
Rialto,Absent,All
Robigus,Absent,All
Rowan,Absent,All
Santiago,Absent,All
Savannah,Absent,All
Scout,Absent,All
Shamrock,Absent,All
Shango,Absent,All
Skyfall,Absent,All
Solace,Absent,All
Solstice,Absent,All
Spark,Absent,All
Sterling,Absent,All
Torch,Present,All
Tuxedo,Absent,All
Twister,Absent,All
Viscount,Absent,All
Warrior,Absent,All
Weaver,Absent,All
Zulu,Absent,All
