Type,Variety,ASN_B2,Asn,Treatment
BreadG1,Avalon,Present,6.372,S+
BreadG1,Crusoe,Absent,2.224540928,S+
BreadG1,Gallant,Absent,3.217772256,S+
BreadG1,Skyfall,Absent,4.169350145,S+
BreadG1,Solstice,Absent,3.458070807,S+
BreadG1,Spark,Absent,3.520897828,S+
BreadG2,Cadenza,Present,5.594708698,S+
BreadG2,Chilton,Absent,1.777908546,S+
BreadG2,Cordiale,Absent,2.819742082,S+
BreadG2,Cubanita,Absent,0.707928928,S+
BreadG2,Einstein,Present,5.118209333,S+
BreadG2,Cashel,Present,3.372666044,S+
BreadG2,Podium,Absent,11.28993284,S+
BreadG2,Sterling,Absent,3.376041398,S+
BreadG2,Bonham,Absent,3.057730621,S+
BreadG2,Evoke,Absent,1.852359615,S+
BreadG2,Rialto,Absent,2.833881111,S+
BiscuitG3,Cocoon,Absent,3.563415196,S+
BiscuitG3,Delphi,Absent,3.295957258,S+
BiscuitG3,Invicta,Absent,5.539030466,S+
BiscuitG3,Diego,Absent,3.489342957,S+
BiscuitG3,Croft,Absent,1.480418389,S+
BiscuitG3,Monterey,Absent,2.116000017,S+
BiscuitG3,Icon,Absent,3.657305273,S+
BiscuitG3,Torch,Present,2.9143795,S+
BiscuitG3,Weaver,Absent,3.103957414,S+
BiscuitG3,Zulu,Absent,2.9143795,S+
SoftG4,Alchemy,Absent,1.527061594,S+
SoftG4,Cougar,Absent,3.864148102,S+
SoftG4,Dali,Absent,3.732438286,S+
SoftG4,Denman,Absent,4.365666922,S+
SoftG4,Horatio,Absent,0.764673071,S+
SoftG4,Rowan,Absent,2.470931923,S+
SoftG4,Leeds,Absent,5.988452466,S+
SoftG4,Lancaster,Present,5.66226171,S+
SoftG4,Twister,Absent,1.874733907,S+
SoftG4,Myriad,Absent,1.953237321,S+
SoftG4,Panacea,Absent,3.295957258,S+
SoftG4,Revelation,Absent,4.658928012,S+
SoftG4,Viscount,Absent,5.561234967,S+
HardG4,Dickens,Absent,3.642701279,S+
HardG4,Duxford,Present,10.9015859,S+
HardG4,Evolution,Absent,3.220992639,S+
HardG4,Gator,Absent,2.453688821,S+
HardG4,Kielder,Present,4.131985388,S+
HardG4,Santiago,Absent,3.902993486,S+
HardG4,Solace,Absent,3.934350695,S+
HardG4,Goldengun,Absent,2.287736686,S+
HardG4,Icebreaker,Absent,4.557529074,S+
HardG4,Relay,Present,2.069934594,S+
Other,SR3,Absent,3.240382706,S+
BreadG1,Avalon,Present,11.133,S-
BreadG1,Crusoe,Absent,11.65708581,S-
BreadG1,Gallant,Absent,16.67549095,S-
BreadG1,Skyfall,Absent,27.9373417,S-
BreadG1,Solstice,Absent,19.98435989,S-
BreadG1,Spark,Absent,11.98812513,S-
BreadG2,Cadenza,Present,23.59317831,S-
BreadG2,Chilton,Absent,25.02712018,S-
BreadG2,Cordiale,Absent,20.69623259,S-
BreadG2,Cubanita,Absent,10.86892716,S-
BreadG2,Einstein,Present,9.160409112,S-
BreadG2,Cashel,Present,19.52994245,S-
BreadG2,Podium,Absent,11.24485931,S-
BreadG2,Sterling,Absent,15.76727484,S-
BreadG2,Bonham,Absent,47.08614341,S-
BreadG2,Evoke,Absent,31.8478094,S-
BreadG2,Rialto,Absent,7.447405629,S-
BiscuitG3,Cocoon,Absent,23.80648436,S-
BiscuitG3,Delphi,Absent,40.6897177,S-
BiscuitG3,Invicta,Absent,21.84461031,S-
BiscuitG3,Diego,Absent,27.4664042,S-
BiscuitG3,Croft,Absent,18.87705243,S-
BiscuitG3,Monterey,Absent,17.46052694,S-
BiscuitG3,Icon,Absent,23.03365912,S-
BiscuitG3,Torch,Present,24.28742744,S-
BiscuitG3,Weaver,Absent,8.181518596,S-
BiscuitG3,Zulu,Absent,31.1547868,S-
SoftG4,Alchemy,Absent,23.4989901,S-
SoftG4,Cougar,Absent,35.37381053,S-
SoftG4,Dali,Absent,25.25219814,S-
SoftG4,Denman,Absent,16.70887731,S-
SoftG4,Horatio,Absent,19.90457812,S-
SoftG4,Rowan,Absent,26.04853714,S-
SoftG4,Leeds,Absent,19.16235765,S-
SoftG4,Lancaster,Present,20.02437061,S-
SoftG4,Twister,Absent,29.66495227,S-
SoftG4,Myriad,Absent,24.65450002,S-
SoftG4,Panacea,Absent,14.49684474,S-
SoftG4,Revelation,Absent,26.15294397,S-
SoftG4,Viscount,Absent,22.60013215,S-
HardG4,Dickens,Absent,9.477252843,S-
HardG4,Duxford,Present,22.57754231,S-
HardG4,Evolution,Absent,23.94975866,S-
HardG4,Gator,Absent,20.61360902,S-
HardG4,Kielder,Present,11.5295496,S-
HardG4,Santiago,Absent,25.91861453,S-
HardG4,Solace,Absent,41.22215034,S-
HardG4,Goldengun,Absent,18.28251803,S-
HardG4,Icebreaker,Absent,31.27965952,S-
HardG4,Relay,Present,11.62216396,S-
Other,SR3,Absent,10.31813563,S-
