Variety,Asn,Treatment,ASN_B2,Season
 Buster,2.108338086,S+,Absent,2011-2012
 Charger,2.253309445,S+,Absent,2011-2012
 Claire,1.708643874,S+,Absent,2011-2012
 Delphi,1.706594732,S+,Absent,2011-2012
 Diego,1.869554187,S+,Absent,2011-2012
 Gallant,1.821936598,S+,Absent,2011-2012
 Hereward,1.964622274,S+,Absent,2011-2012
 Invicta,1.883063553,S+,Absent,2011-2012
 Oakley,1.899327735,S+,Absent,2011-2012
 Rialto,1.843378446,S+,Absent,2011-2012
 Robigus,1.518465067,S+,Absent,2011-2012
 Santiago,1.86060183,S+,Absent,2011-2012
 Savannah,1.758040787,S+,Absent,2011-2012
 Scout,2.683172867,S+,Absent,2011-2012
 Shamrock,1.892123986,S+,Absent,2011-2012
 Shango,1.814844883,S+,Absent,2011-2012
 Solstice,1.970919135,S+,Absent,2011-2012
 Spark,2.049508483,S+,Absent,2011-2012
 Tuxedo,1.904653305,S+,Absent,2011-2012
 Warrior,2.298369595,S+,Absent,2011-2012
 Avalon,2.142342807,S+,Present,2011-2012
 Badger,2.418626942,S+,Present,2011-2012
 Cadenza,2.224428436,S+,Present,2011-2012
 Malacca,1.960500896,S+,Present,2011-2012
 Torch,1.881557705,S+,Present,2011-2012
 Buster,2.650106956,S-,Absent,2011-2012
 Charger,2.755227455,S-,Absent,2011-2012
 Claire,2.086316352,S-,Absent,2011-2012
 Delphi,1.530355406,S-,Absent,2011-2012
 Diego,2.032364716,S-,Absent,2011-2012
 Gallant,2.867096944,S-,Absent,2011-2012
 Hereward,2.070520448,S-,Absent,2011-2012
 Invicta,2.332171948,S-,Absent,2011-2012
 Oakley,1.851507181,S-,Absent,2011-2012
 Rialto,1.942547003,S-,Absent,2011-2012
 Robigus,1.789614082,S-,Absent,2011-2012
 Santiago,1.733426352,S-,Absent,2011-2012
 Savannah,1.968358605,S-,Absent,2011-2012
 Scout,2.22065012,S-,Absent,2011-2012
 Shamrock,1.585341751,S-,Absent,2011-2012
 Shango,1.746301285,S-,Absent,2011-2012
 Solstice,2.863372139,S-,Absent,2011-2012
 Spark,2.049303542,S-,Absent,2011-2012
 Tuxedo,2.394082338,S-,Absent,2011-2012
 Warrior,2.209353635,S-,Absent,2011-2012
 Avalon,2.725358557,S-,Present,2011-2012
 Badger,3.045301771,S-,Present,2011-2012
 Cadenza,2.518088294,S-,Present,2011-2012
 Malacca,2.830348928,S-,Present,2011-2012
 Torch,1.728925297,S-,Present,2011-2012
Avalon,6.372,S+,Present,2012-2013
Crusoe,2.224540928,S+,Absent,2012-2013
Gallant,3.217772256,S+,Absent,2012-2013
Skyfall,4.169350145,S+,Absent,2012-2013
Solstice,3.458070807,S+,Absent,2012-2013
Spark,3.520897828,S+,Absent,2012-2013
Cadenza,5.594708698,S+,Present,2012-2013
Chilton,1.777908546,S+,Absent,2012-2013
Cordiale,2.819742082,S+,Absent,2012-2013
Cubanita,0.707928928,S+,Absent,2012-2013
Einstein,5.118209333,S+,Present,2012-2013
Cashel,3.372666044,S+,Present,2012-2013
Podium,11.28993284,S+,Absent,2012-2013
